,genero,edad,pais,nivel de estudios,puesto de trabajo,sector,tamaño de la compañia
6199,Man,25-29,United States of America,Some college/university study without earning a bachelor’s degree,Data Analyst,Computers/Technology,250-999 employees
6200,Woman,18-21,India,Master’s degree,Student,,
6201,Man,18-21,India,Bachelor’s degree,Student,,
6202,Man,45-49,Brazil,Master’s degree,Other,Manufacturing/Fabrication,"10,000 or more employees"
6203,Man,45-49,United States of America,Master’s degree,Business Analyst,Accounting/Finance,0-49 employees
6204,Man,35-39,United States of America,Bachelor’s degree,Data Scientist,Insurance/Risk Assessment,250-999 employees
6205,Man,22-24,India,Master’s degree,Business Analyst,Computers/Technology,250-999 employees
6206,Man,35-39,Spain,Doctoral degree,Research Scientist,Academics/Education,"10,000 or more employees"
6207,Man,40-44,United States of America,Master’s degree,Other,Academics/Education,"1000-9,999 employees"
6208,Man,22-24,India,Master’s degree,Student,,
6209,Woman,35-39,United States of America,Some college/university study without earning a bachelor’s degree,Currently not employed,,
6210,Woman,45-49,United States of America,Master’s degree,Software Engineer,Computers/Technology,0-49 employees
6211,Man,40-44,India,Master’s degree,Software Engineer,Academics/Education,250-999 employees
6212,Man,35-39,United States of America,Bachelor’s degree,Other,Shipping/Transportation,0-49 employees
6213,Man,22-24,India,Master’s degree,Student,,
6214,Man,18-21,India,Some college/university study without earning a bachelor’s degree,Student,,
6215,Man,22-24,Italy,Bachelor’s degree,Student,,
6216,Man,55-59,Brazil,Doctoral degree,Research Scientist,Accounting/Finance,"1000-9,999 employees"
6217,Man,25-29,Egypt,Bachelor’s degree,Data Scientist,Other,250-999 employees
6218,Man,22-24,South Korea,Master’s degree,Currently not employed,,
6219,Man,25-29,India,Professional doctorate,Research Scientist,Academics/Education,50-249 employees
6220,Woman,22-24,India,Bachelor’s degree,Software Engineer,Computers/Technology,"10,000 or more employees"
6221,Man,22-24,Pakistan,Bachelor’s degree,Student,,
6222,Man,22-24,India,Bachelor’s degree,Currently not employed,,
6223,Man,50-54,Japan,I prefer not to answer,Software Engineer,Computers/Technology,50-249 employees
6224,Man,40-44,United States of America,Master’s degree,Student,,
6225,Man,40-44,Canada,Master’s degree,Business Analyst,Insurance/Risk Assessment,"10,000 or more employees"
6226,Man,22-24,Pakistan,Some college/university study without earning a bachelor’s degree,Developer Relations/Advocacy,Non-profit/Service,0-49 employees
6227,Man,22-24,India,Master’s degree,Student,,
6228,Man,35-39,India,Master’s degree,Currently not employed,,
6229,Man,45-49,Turkey,Bachelor’s degree,Software Engineer,Government/Public Service,250-999 employees
6230,Woman,30-34,Mexico,Master’s degree,Software Engineer,,
6231,Woman,35-39,United States of America,Master’s degree,Data Scientist,Accounting/Finance,"1000-9,999 employees"
6232,Man,25-29,Other,Master’s degree,Data Analyst,,
6233,Man,30-34,Ghana,Master’s degree,Research Scientist,Medical/Pharmaceutical,50-249 employees
6234,Man,60-69,Tunisia,Bachelor’s degree,Machine Learning Engineer,Computers/Technology,50-249 employees
6235,Man,40-44,Australia,Master’s degree,Data Engineer,Accounting/Finance,0-49 employees
6236,Man,40-44,Italy,Some college/university study without earning a bachelor’s degree,Student,,
6237,Man,18-21,India,No formal education past high school,Data Analyst,Energy/Mining,50-249 employees
6238,Man,35-39,Other,Bachelor’s degree,Software Engineer,Computers/Technology,"10,000 or more employees"
6239,Man,35-39,Greece,Master’s degree,Machine Learning Engineer,Computers/Technology,0-49 employees
6240,Man,50-54,Japan,Bachelor’s degree,Software Engineer,Computers/Technology,250-999 employees
6241,Woman,22-24,Pakistan,Bachelor’s degree,Student,,
6242,Man,25-29,India,Some college/university study without earning a bachelor’s degree,Student,,
6243,Man,30-34,Morocco,Doctoral degree,Research Scientist,Academics/Education,"1000-9,999 employees"
6244,Woman,30-34,United States of America,Bachelor’s degree,Software Engineer,Academics/Education,0-49 employees
6245,Man,40-44,Japan,Bachelor’s degree,Data Analyst,Computers/Technology,"10,000 or more employees"
6246,Man,50-54,United States of America,Bachelor’s degree,Data Engineer,Computers/Technology,"1000-9,999 employees"
6247,Man,25-29,Australia,Master’s degree,Data Analyst,,
6248,Man,18-21,Indonesia,Some college/university study without earning a bachelor’s degree,Data Scientist,Computers/Technology,50-249 employees
6249,Woman,30-34,India,Master’s degree,Statistician,Accounting/Finance,"1000-9,999 employees"
6250,Man,22-24,Turkey,Master’s degree,Data Scientist,Retail/Sales,"1000-9,999 employees"
6251,Man,22-24,Mexico,Bachelor’s degree,Student,,
6252,Man,18-21,India,Bachelor’s degree,Student,,
6253,Woman,55-59,Other,Doctoral degree,Research Scientist,Academics/Education,0-49 employees
6254,Man,18-21,India,Bachelor’s degree,Software Engineer,,
6255,Man,40-44,United States of America,Master’s degree,Currently not employed,,
6256,Man,18-21,United States of America,Bachelor’s degree,Student,,
6257,Man,45-49,United States of America,Doctoral degree,Other,Academics/Education,50-249 employees
6258,Man,25-29,Belgium,Master’s degree,Currently not employed,,
6259,Man,22-24,India,Bachelor’s degree,Other,Manufacturing/Fabrication,"1000-9,999 employees"
6260,Man,45-49,Ukraine,Doctoral degree,Research Scientist,Academics/Education,"1000-9,999 employees"
6261,Woman,40-44,United States of America,Bachelor’s degree,Program/Project Manager,Shipping/Transportation,"10,000 or more employees"
6262,Man,22-24,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Student,,
6263,Man,35-39,Nigeria,Bachelor’s degree,Data Analyst,Energy/Mining,0-49 employees
6264,Woman,35-39,United States of America,I prefer not to answer,Research Scientist,Academics/Education,"1000-9,999 employees"
6265,Man,25-29,India,Master’s degree,Data Scientist,Other,"1000-9,999 employees"
6266,Man,30-34,Japan,Doctoral degree,Currently not employed,,
6267,Man,40-44,France,Master’s degree,Data Scientist,Online Service/Internet-based Services,50-249 employees
6268,Man,25-29,Chile,Bachelor’s degree,Currently not employed,,
6269,Man,18-21,India,Bachelor’s degree,Software Engineer,Computers/Technology,"1000-9,999 employees"
6270,Man,22-24,Indonesia,Bachelor’s degree,Student,,
6271,Man,25-29,Other,Bachelor’s degree,Student,,
6272,Man,18-21,United States of America,Bachelor’s degree,Student,,
6273,Man,22-24,India,Bachelor’s degree,Data Scientist,Accounting/Finance,0-49 employees
6274,Man,40-44,India,Master’s degree,Data Analyst,Online Service/Internet-based Services,250-999 employees
6275,Man,18-21,Ireland,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,Retail/Sales,50-249 employees
6276,Woman,22-24,India,Bachelor’s degree,Student,,
6277,Man,22-24,United States of America,Master’s degree,Student,,
6278,Woman,18-21,Turkey,Some college/university study without earning a bachelor’s degree,Software Engineer,Computers/Technology,0-49 employees
6279,Man,30-34,France,Master’s degree,Product Manager,Online Service/Internet-based Services,50-249 employees
6280,Woman,40-44,Ethiopia,Bachelor’s degree,Other,Non-profit/Service,0-49 employees
6281,Man,22-24,Algeria,Master’s degree,Student,,
6282,Man,22-24,India,Master’s degree,Currently not employed,,
6283,Man,45-49,Other,Some college/university study without earning a bachelor’s degree,Software Engineer,Online Business/Internet-based Sales,0-49 employees
6284,Man,22-24,India,Master’s degree,Business Analyst,Online Service/Internet-based Services,250-999 employees
6285,Woman,25-29,Viet Nam,Bachelor’s degree,Data Analyst,Other,0-49 employees
6286,Man,35-39,Other,Bachelor’s degree,Data Analyst,Medical/Pharmaceutical,50-249 employees
6287,Man,18-21,Indonesia,Bachelor’s degree,Data Scientist,Energy/Mining,"10,000 or more employees"
6288,Prefer not to say,45-49,Japan,Master’s degree,Software Engineer,Online Service/Internet-based Services,"10,000 or more employees"
6289,Prefer not to say,18-21,China,I prefer not to answer,Student,,
6290,Man,22-24,France,Master’s degree,Student,,
6291,Man,45-49,France,Master’s degree,Program/Project Manager,Computers/Technology,50-249 employees
6292,Man,50-54,Japan,Master’s degree,Data Scientist,,
6293,Woman,18-21,Other,Some college/university study without earning a bachelor’s degree,Student,,
6294,Man,25-29,India,Master’s degree,Other,Academics/Education,0-49 employees
6295,Man,30-34,Taiwan,Master’s degree,Data Scientist,Online Service/Internet-based Services,"10,000 or more employees"
6296,Man,40-44,Chile,Master’s degree,Data Scientist,Academics/Education,250-999 employees
6297,Woman,50-54,United States of America,Some college/university study without earning a bachelor’s degree,Currently not employed,,
6298,Man,30-34,Nigeria,Bachelor’s degree,Data Scientist,Academics/Education,250-999 employees
6299,Man,18-21,Indonesia,Bachelor’s degree,Student,,
6300,Man,35-39,Thailand,Doctoral degree,Machine Learning Engineer,Energy/Mining,"10,000 or more employees"
6301,Man,18-21,India,Master’s degree,Data Scientist,Academics/Education,0-49 employees
6302,Man,22-24,Sri Lanka,Bachelor’s degree,Software Engineer,Online Business/Internet-based Sales,0-49 employees
6303,Man,22-24,Brazil,Master’s degree,Student,,
6304,Man,18-21,India,Bachelor’s degree,Student,,
6305,Man,22-24,Indonesia,Bachelor’s degree,Currently not employed,,
6306,Woman,70+,Malaysia,Professional doctorate,Data Scientist,Academics/Education,0-49 employees
6307,Man,22-24,India,Master’s degree,Data Analyst,Insurance/Risk Assessment,"10,000 or more employees"
6308,Prefer not to say,22-24,Spain,Bachelor’s degree,Currently not employed,,
6309,Man,25-29,France,Doctoral degree,Research Scientist,Academics/Education,"10,000 or more employees"
6310,Man,50-54,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Currently not employed,,
6311,Man,30-34,Canada,Master’s degree,Product Manager,Computers/Technology,"10,000 or more employees"
6312,Man,35-39,Nigeria,Bachelor’s degree,Currently not employed,,
6313,Man,30-34,Nigeria,Master’s degree,Data Analyst,Broadcasting/Communications,"1000-9,999 employees"
6314,Woman,18-21,India,Master’s degree,Student,,
6315,Man,35-39,Other,Master’s degree,Business Analyst,Computers/Technology,250-999 employees
6316,Man,35-39,Germany,Master’s degree,Data Analyst,Retail/Sales,"1000-9,999 employees"
6317,Woman,30-34,Other,Master’s degree,Other,Academics/Education,50-249 employees
6318,Woman,22-24,United States of America,Master’s degree,Student,,
6319,Man,45-49,Belgium,Bachelor’s degree,Data Analyst,Accounting/Finance,"1000-9,999 employees"
6320,Man,22-24,India,Bachelor’s degree,Currently not employed,,
6321,Man,30-34,Turkey,No formal education past high school,Other,,
6322,Man,30-34,South Korea,Bachelor’s degree,Business Analyst,Accounting/Finance,0-49 employees
6323,Man,22-24,India,Bachelor’s degree,Machine Learning Engineer,Computers/Technology,"10,000 or more employees"
6324,Man,25-29,India,Master’s degree,Developer Relations/Advocacy,,
6325,Man,25-29,India,Bachelor’s degree,Software Engineer,Computers/Technology,"10,000 or more employees"
6326,Man,22-24,Morocco,I prefer not to answer,Data Scientist,Accounting/Finance,"10,000 or more employees"
6327,Man,18-21,Viet Nam,Some college/university study without earning a bachelor’s degree,Student,,
6328,Man,22-24,India,Bachelor’s degree,Data Analyst,Online Service/Internet-based Services,0-49 employees
6329,Man,18-21,Philippines,No formal education past high school,Data Analyst,Online Service/Internet-based Services,250-999 employees
6330,Man,22-24,Viet Nam,Some college/university study without earning a bachelor’s degree,Data Analyst,Insurance/Risk Assessment,"1000-9,999 employees"
6331,Man,25-29,Malaysia,Some college/university study without earning a bachelor’s degree,Currently not employed,,
6332,Man,35-39,India,Master’s degree,Student,,
6333,Woman,18-21,Kenya,Bachelor’s degree,Student,,
6334,Woman,18-21,India,Bachelor’s degree,Student,,
6335,Man,22-24,India,Doctoral degree,Student,,
6336,Woman,18-21,Indonesia,Bachelor’s degree,Student,,
6337,Man,22-24,India,Master’s degree,Data Engineer,,
6338,Woman,22-24,India,I prefer not to answer,Student,,
6339,Man,25-29,Egypt,Bachelor’s degree,Software Engineer,Academics/Education,50-249 employees
6340,Woman,18-21,India,Bachelor’s degree,Student,,
6341,Man,45-49,Poland,Doctoral degree,Research Scientist,Academics/Education,"1000-9,999 employees"
6342,Man,60-69,Australia,Doctoral degree,Currently not employed,,
6343,Man,35-39,Hong Kong (S.A.R.),Doctoral degree,Machine Learning Engineer,Hospitality/Entertainment/Sports,0-49 employees
6344,Man,35-39,Italy,Doctoral degree,Software Engineer,Computers/Technology,0-49 employees
6345,Man,35-39,Italy,Doctoral degree,Data Scientist,Academics/Education,0-49 employees
6346,Man,30-34,Japan,Master’s degree,Currently not employed,,
6347,Man,22-24,Malaysia,Doctoral degree,Research Scientist,Academics/Education,"10,000 or more employees"
6348,Man,40-44,Argentina,Master’s degree,Data Scientist,Online Business/Internet-based Sales,"10,000 or more employees"
6349,Man,22-24,Russia,Bachelor’s degree,Software Engineer,Manufacturing/Fabrication,0-49 employees
6350,Man,22-24,Russia,Master’s degree,Student,,
6351,Man,22-24,South Africa,Master’s degree,Data Scientist,,
6352,Man,40-44,Ukraine,Master’s degree,Program/Project Manager,Academics/Education,50-249 employees
6353,Man,22-24,Turkey,Master’s degree,Student,,
6354,Man,60-69,Other,Master’s degree,Business Analyst,Government/Public Service,50-249 employees
6355,Man,22-24,India,No formal education past high school,Currently not employed,,
6356,Woman,25-29,"Iran, Islamic Republic of...",Master’s degree,Machine Learning Engineer,Computers/Technology,50-249 employees
6357,Man,18-21,India,Bachelor’s degree,Student,,
6358,Man,25-29,India,I prefer not to answer,Other,Other,0-49 employees
6359,Man,22-24,Bangladesh,Bachelor’s degree,Currently not employed,,
6360,Woman,22-24,Iraq,Bachelor’s degree,Data Analyst,,
6361,Man,30-34,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Software Engineer,,
6362,Man,18-21,India,Bachelor’s degree,Student,,
6363,Man,30-34,Indonesia,Doctoral degree,Other,Energy/Mining,50-249 employees
6364,Man,18-21,Uganda,Bachelor’s degree,Currently not employed,,
6365,Man,25-29,Ethiopia,Master’s degree,Machine Learning Engineer,Academics/Education,"1000-9,999 employees"
6366,Man,45-49,United States of America,Doctoral degree,Data Scientist,Marketing/CRM,250-999 employees
6367,Man,25-29,Other,Bachelor’s degree,Software Engineer,Computers/Technology,50-249 employees
6368,Man,35-39,South Korea,Bachelor’s degree,Software Engineer,Online Service/Internet-based Services,0-49 employees
6369,Woman,22-24,India,Master’s degree,Software Engineer,Computers/Technology,"10,000 or more employees"
6370,Man,22-24,India,Bachelor’s degree,Other,Computers/Technology,"10,000 or more employees"
6371,Woman,22-24,France,Bachelor’s degree,Student,,
6372,Man,22-24,Other,Master’s degree,Data Scientist,Online Business/Internet-based Sales,0-49 employees
6373,Man,30-34,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Currently not employed,,
6374,Man,25-29,Nigeria,Bachelor’s degree,Data Analyst,Academics/Education,250-999 employees
6375,Man,30-34,Ethiopia,Master’s degree,Software Engineer,Academics/Education,0-49 employees
6376,Man,18-21,Pakistan,Bachelor’s degree,Student,,
6377,Man,25-29,Peru,Master’s degree,Student,,
6378,Man,18-21,India,Bachelor’s degree,Student,,
6379,Woman,18-21,India,Bachelor’s degree,Student,,
6380,Woman,22-24,Japan,Master’s degree,Student,,
6381,Man,18-21,Russia,Bachelor’s degree,Student,,
6382,Woman,18-21,India,Bachelor’s degree,Software Engineer,Computers/Technology,"10,000 or more employees"
6383,Man,18-21,India,Bachelor’s degree,Student,,
6384,Man,18-21,India,Bachelor’s degree,Data Scientist,Non-profit/Service,250-999 employees
6385,Man,22-24,India,Bachelor’s degree,Currently not employed,,
6386,Woman,22-24,India,Bachelor’s degree,Data Scientist,Computers/Technology,"1000-9,999 employees"
6387,Woman,22-24,Tunisia,Master’s degree,Software Engineer,,
6388,Woman,18-21,India,No formal education past high school,Student,,
6389,Man,30-34,Japan,Master’s degree,Research Scientist,Manufacturing/Fabrication,"10,000 or more employees"
6390,Woman,18-21,India,Bachelor’s degree,Student,,
6391,Man,25-29,Mexico,Doctoral degree,Software Engineer,Manufacturing/Fabrication,0-49 employees
6392,Man,45-49,Nigeria,Master’s degree,Other,Energy/Mining,"1000-9,999 employees"
6393,Man,25-29,Germany,Bachelor’s degree,Currently not employed,,
6394,Man,25-29,India,Master’s degree,Data Analyst,Accounting/Finance,50-249 employees
6395,Man,50-54,Russia,Doctoral degree,Business Analyst,Accounting/Finance,"10,000 or more employees"
6396,Man,18-21,India,Master’s degree,Student,,
6397,Man,60-69,Russia,Master’s degree,Product Manager,Retail/Sales,50-249 employees
6398,Man,25-29,Other,Master’s degree,Data Scientist,Academics/Education,0-49 employees
6399,Man,45-49,United States of America,Master’s degree,Other,Manufacturing/Fabrication,"10,000 or more employees"
6400,Man,30-34,China,Master’s degree,Machine Learning Engineer,Computers/Technology,"10,000 or more employees"
6401,Woman,18-21,India,Master’s degree,Student,,
6402,Man,22-24,India,Master’s degree,Software Engineer,Academics/Education,0-49 employees
6403,Man,30-34,Iraq,Bachelor’s degree,Other,Non-profit/Service,"10,000 or more employees"
6404,Man,18-21,Denmark,Bachelor’s degree,Data Scientist,Other,0-49 employees
6405,Man,30-34,China,Some college/university study without earning a bachelor’s degree,Student,,
6406,Man,35-39,Germany,Doctoral degree,Data Scientist,Online Business/Internet-based Sales,250-999 employees
6407,Woman,18-21,India,Some college/university study without earning a bachelor’s degree,Student,,
6408,Man,35-39,Peru,Master’s degree,Software Engineer,Retail/Sales,0-49 employees
6409,Man,22-24,Other,Some college/university study without earning a bachelor’s degree,Student,,
6410,Man,35-39,United States of America,Doctoral degree,Data Scientist,Energy/Mining,"10,000 or more employees"
6411,Prefer not to say,22-24,India,Bachelor’s degree,Software Engineer,Computers/Technology,250-999 employees
6412,Nonbinary,30-34,United States of America,No formal education past high school,Currently not employed,,
6413,Woman,30-34,United States of America,Master’s degree,Business Analyst,Shipping/Transportation,0-49 employees
6414,Man,18-21,Indonesia,Some college/university study without earning a bachelor’s degree,Student,,
6415,Man,50-54,Portugal,Professional doctorate,Research Scientist,Academics/Education,"1000-9,999 employees"
6416,Man,18-21,India,Bachelor’s degree,Student,,
6417,Man,35-39,Morocco,Doctoral degree,Machine Learning Engineer,Computers/Technology,0-49 employees
6418,Man,18-21,Ukraine,Bachelor’s degree,Data Scientist,Computers/Technology,0-49 employees
6419,Man,18-21,India,Master’s degree,Student,,
6420,Woman,25-29,Brazil,Master’s degree,Data Scientist,Energy/Mining,"10,000 or more employees"
6421,Man,25-29,Nigeria,Bachelor’s degree,Data Scientist,Accounting/Finance,0-49 employees
6422,Man,22-24,Other,Master’s degree,Student,,
6423,Prefer not to say,18-21,China,Bachelor’s degree,Student,,
6424,Man,30-34,Hong Kong (S.A.R.),Bachelor’s degree,Data Scientist,Academics/Education,"1000-9,999 employees"
6425,Man,22-24,Taiwan,Master’s degree,Student,,
6426,Man,22-24,India,Bachelor’s degree,Software Engineer,Computers/Technology,"1000-9,999 employees"
6427,Man,22-24,Nigeria,Bachelor’s degree,Student,,
6428,Man,25-29,Germany,Bachelor’s degree,Student,,
6429,Man,25-29,Taiwan,Master’s degree,Software Engineer,Manufacturing/Fabrication,50-249 employees
6430,Man,18-21,Brazil,Some college/university study without earning a bachelor’s degree,Student,,
6431,Man,22-24,India,Bachelor’s degree,Data Scientist,Accounting/Finance,0-49 employees
6432,Man,22-24,India,Bachelor’s degree,Student,,
6433,Man,18-21,China,Some college/university study without earning a bachelor’s degree,Data Analyst,Academics/Education,0-49 employees
6434,Man,25-29,Morocco,Master’s degree,Data Analyst,Energy/Mining,0-49 employees
6435,Woman,25-29,India,I prefer not to answer,Other,Computers/Technology,"10,000 or more employees"
6436,Man,30-34,India,Bachelor’s degree,Software Engineer,Accounting/Finance,"1000-9,999 employees"
6437,Man,18-21,Malaysia,Bachelor’s degree,Student,,
6438,Man,22-24,Germany,Master’s degree,Data Scientist,Computers/Technology,0-49 employees
6439,Woman,22-24,Other,Doctoral degree,Business Analyst,Accounting/Finance,250-999 employees
6440,Man,30-34,Germany,Doctoral degree,Research Scientist,Academics/Education,"1000-9,999 employees"
6441,Man,18-21,Japan,Bachelor’s degree,Student,,
6442,Woman,18-21,China,Some college/university study without earning a bachelor’s degree,Student,,
6443,Man,25-29,China,Doctoral degree,Machine Learning Engineer,Computers/Technology,"10,000 or more employees"
6444,Woman,22-24,India,Bachelor’s degree,Business Analyst,Computers/Technology,250-999 employees
6445,Woman,25-29,South Korea,Bachelor’s degree,Data Analyst,Government/Public Service,0-49 employees
6446,Man,22-24,Other,Master’s degree,Student,,
6447,Woman,22-24,Italy,Bachelor’s degree,Data Scientist,Other,"10,000 or more employees"
6448,Man,50-54,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Analyst,Government/Public Service,250-999 employees
6449,Man,22-24,India,Master’s degree,Student,,
6450,Man,45-49,Spain,Doctoral degree,Data Analyst,Academics/Education,"1000-9,999 employees"
6451,Man,45-49,Other,Doctoral degree,Research Scientist,Academics/Education,250-999 employees
6452,Woman,40-44,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Analyst,Marketing/CRM,"10,000 or more employees"
6453,Man,35-39,United States of America,Master’s degree,Other,Medical/Pharmaceutical,"1000-9,999 employees"
6454,Man,25-29,Italy,Master’s degree,Data Analyst,Insurance/Risk Assessment,"1000-9,999 employees"
6455,Man,25-29,India,Bachelor’s degree,Software Engineer,Computers/Technology,"10,000 or more employees"
6456,Man,25-29,Japan,No formal education past high school,Software Engineer,Accounting/Finance,250-999 employees
6457,Man,30-34,India,Master’s degree,Other,Computers/Technology,"10,000 or more employees"
6458,Man,45-49,Spain,Doctoral degree,Research Scientist,Academics/Education,"1000-9,999 employees"
6459,Man,22-24,India,Master’s degree,Currently not employed,,
6460,Man,40-44,India,Master’s degree,Statistician,Medical/Pharmaceutical,"10,000 or more employees"
6461,Man,35-39,France,Doctoral degree,Software Engineer,Online Business/Internet-based Sales,0-49 employees
6462,Woman,50-54,United States of America,Master’s degree,Other,Medical/Pharmaceutical,50-249 employees
6463,Man,45-49,United States of America,Doctoral degree,Data Scientist,Government/Public Service,0-49 employees
6464,Prefer to self-describe,18-21,India,Bachelor’s degree,Student,,
6465,Woman,22-24,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Other,,
6466,Man,35-39,France,Master’s degree,Business Analyst,Retail/Sales,"10,000 or more employees"
6467,Man,55-59,Japan,Bachelor’s degree,Research Scientist,Manufacturing/Fabrication,50-249 employees
6468,Man,30-34,Brazil,Bachelor’s degree,Program/Project Manager,Accounting/Finance,"1000-9,999 employees"
6469,Man,18-21,India,Bachelor’s degree,Student,,
6470,Man,25-29,Turkey,Master’s degree,Research Scientist,Computers/Technology,0-49 employees
6471,Man,25-29,Spain,Bachelor’s degree,Machine Learning Engineer,Medical/Pharmaceutical,"1000-9,999 employees"
6472,Man,30-34,Greece,Master’s degree,Business Analyst,Broadcasting/Communications,"10,000 or more employees"
6473,Man,22-24,Bangladesh,Bachelor’s degree,Currently not employed,,
6474,Woman,18-21,China,Bachelor’s degree,Student,,
6475,Woman,40-44,Turkey,Bachelor’s degree,Student,,
6476,Man,40-44,India,Bachelor’s degree,Machine Learning Engineer,Computers/Technology,0-49 employees
6477,Woman,22-24,Sri Lanka,Some college/university study without earning a bachelor’s degree,Software Engineer,Government/Public Service,0-49 employees
6478,Man,30-34,India,Master’s degree,Currently not employed,,
6479,Man,35-39,United States of America,Bachelor’s degree,Data Analyst,Computers/Technology,"10,000 or more employees"
6480,Man,18-21,India,Bachelor’s degree,Student,,
6481,Woman,45-49,Netherlands,Doctoral degree,Other,Computers/Technology,"10,000 or more employees"
6482,Woman,18-21,India,Master’s degree,Data Scientist,Other,0-49 employees
6483,Woman,25-29,India,Master’s degree,Data Analyst,Other,0-49 employees
6484,Man,18-21,India,Bachelor’s degree,Student,,
6485,Man,18-21,India,Bachelor’s degree,Student,,
6486,Man,35-39,Viet Nam,Master’s degree,Software Engineer,Online Business/Internet-based Sales,"1000-9,999 employees"
6487,Man,30-34,Egypt,I prefer not to answer,Data Scientist,Retail/Sales,"1000-9,999 employees"
6488,Man,22-24,India,Master’s degree,Currently not employed,,
6489,Man,50-54,France,Master’s degree,Other,Accounting/Finance,0-49 employees
6490,Man,18-21,Viet Nam,Bachelor’s degree,Currently not employed,,
6491,Man,35-39,India,Master’s degree,Data Analyst,Computers/Technology,0-49 employees
6492,Man,25-29,India,Bachelor’s degree,Data Analyst,Computers/Technology,"10,000 or more employees"
6493,Man,45-49,South Korea,Bachelor’s degree,Other,Academics/Education,50-249 employees
6494,Man,50-54,Tunisia,Master’s degree,Software Engineer,Manufacturing/Fabrication,50-249 employees
6495,Man,50-54,Peru,Master’s degree,Program/Project Manager,Computers/Technology,0-49 employees
6496,Man,40-44,Other,No formal education past high school,Business Analyst,Shipping/Transportation,"10,000 or more employees"
6497,Man,45-49,Ecuador,I prefer not to answer,Currently not employed,,
6498,Man,30-34,Canada,Master’s degree,Developer Relations/Advocacy,Computers/Technology,
6499,Man,22-24,Spain,Bachelor’s degree,Student,,
6500,Man,25-29,India,Bachelor’s degree,Data Analyst,Online Service/Internet-based Services,"10,000 or more employees"
6501,Man,50-54,Australia,Master’s degree,Data Analyst,Government/Public Service,"10,000 or more employees"
6502,Man,22-24,United States of America,Master’s degree,Student,,
6503,Man,35-39,Brazil,Master’s degree,Currently not employed,,
6504,Man,25-29,Turkey,Bachelor’s degree,Data Scientist,Computers/Technology,250-999 employees
6505,Man,22-24,Israel,Bachelor’s degree,Student,,
6506,Man,25-29,Peru,Bachelor’s degree,Business Analyst,Marketing/CRM,0-49 employees
6507,Man,18-21,United States of America,Bachelor’s degree,Student,,
6508,Man,30-34,China,Doctoral degree,Research Scientist,Academics/Education,"1000-9,999 employees"
6509,Man,18-21,India,Bachelor’s degree,Student,,
6510,Woman,30-34,India,Master’s degree,Data Analyst,Hospitality/Entertainment/Sports,50-249 employees
6511,Man,40-44,Egypt,Bachelor’s degree,Program/Project Manager,Manufacturing/Fabrication,50-249 employees
6512,Man,22-24,Bangladesh,Bachelor’s degree,Student,,
6513,Man,45-49,United States of America,Master’s degree,Data Scientist,Computers/Technology,"10,000 or more employees"
6514,Woman,40-44,United Arab Emirates,Bachelor’s degree,Currently not employed,,
6515,Man,25-29,Kenya,I prefer not to answer,Other,Accounting/Finance,250-999 employees
6516,Man,25-29,Nepal,Bachelor’s degree,Currently not employed,,
6517,Man,35-39,Other,Doctoral degree,Other,Academics/Education,"1000-9,999 employees"
6518,Woman,40-44,India,Master’s degree,Currently not employed,,
6519,Woman,18-21,Colombia,Master’s degree,Currently not employed,,
6520,Woman,18-21,South Korea,Bachelor’s degree,Student,,
6521,Man,25-29,India,Master’s degree,Student,,
6522,Woman,18-21,India,Bachelor’s degree,Student,,
6523,Man,25-29,India,Master’s degree,Currently not employed,,
6524,Woman,22-24,India,Master’s degree,Student,,
6525,Man,18-21,Nigeria,Bachelor’s degree,Data Scientist,Other,0-49 employees
6526,Man,35-39,Spain,Master’s degree,Data Engineer,Computers/Technology,250-999 employees
6527,Woman,25-29,India,Master’s degree,Currently not employed,,
6528,Woman,60-69,Japan,Doctoral degree,Research Scientist,Academics/Education,"1000-9,999 employees"
6529,Man,50-54,United States of America,Doctoral degree,Data Scientist,Shipping/Transportation,"10,000 or more employees"
6530,Man,22-24,India,Bachelor’s degree,Currently not employed,,
6531,Man,30-34,Turkey,Professional doctorate,Other,Academics/Education,"1000-9,999 employees"
6532,Man,35-39,Brazil,Master’s degree,Research Scientist,Manufacturing/Fabrication,"10,000 or more employees"
6533,Man,70+,Japan,No formal education past high school,Currently not employed,,
6534,Woman,55-59,United States of America,Master’s degree,Other,Government/Public Service,250-999 employees
6535,Man,45-49,Indonesia,Master’s degree,Research Scientist,Computers/Technology,250-999 employees
6536,Man,35-39,Thailand,Bachelor’s degree,Data Analyst,Academics/Education,250-999 employees
6537,Man,18-21,India,Bachelor’s degree,Student,,
6538,Man,30-34,Ireland,Master’s degree,Student,,
6539,Man,35-39,United Arab Emirates,Master’s degree,Data Analyst,Medical/Pharmaceutical,50-249 employees
6540,Man,18-21,Japan,Some college/university study without earning a bachelor’s degree,Student,,
