,genero,edad,pais,nivel de estudios,puesto de trabajo,sector,tamaño de la compañia,continente,rama
2467,Man,18-21,Egypt,Bachelor’s degree,Software Engineer,,,África,developer
2468,Woman,22-24,Egypt,Bachelor’s degree,Software Engineer,Academics/Education,50-249 employees,África,developer
2469,Man,22-24,India,Bachelor’s degree,Software Engineer,Computers/Technology,0-49 employees,Asia,developer
2472,Man,22-24,India,I prefer not to answer,Data Scientist,Academics/Education,0-49 employees,Asia,data
2473,Man,18-21,India,Bachelor’s degree,Business Analyst,Computers/Technology,0-49 employees,Asia,data
2474,Man,25-29,India,Bachelor’s degree,Software Engineer,Online Service/Internet-based Services,"10,000 or more employees",Asia,developer
2476,Woman,60-69,Canada,Master’s degree,Program/Project Manager,Computers/Technology,50-249 employees,América del Norte,other
2478,Man,35-39,Chile,Master’s degree,Business Analyst,Shipping/Transportation,"1000-9,999 employees",América del Sur,data
2479,Man,25-29,Japan,Doctoral degree,Research Scientist,Medical/Pharmaceutical,"1000-9,999 employees",Asia,data
2481,Man,55-59,Japan,Bachelor’s degree,Machine Learning Engineer,Manufacturing/Fabrication,0-49 employees,Asia,data
2482,Man,22-24,Egypt,Bachelor’s degree,Data Scientist,,,África,data
2483,Man,25-29,Canada,Master’s degree,Research Scientist,Government/Public Service,250-999 employees,América del Norte,data
2487,Man,35-39,Brazil,Master’s degree,Data Engineer,Government/Public Service,"10,000 or more employees",América del Sur,data
2488,Man,30-34,Nigeria,Bachelor’s degree,Machine Learning Engineer,Computers/Technology,0-49 employees,África,data
2494,Man,40-44,Italy,No formal education past high school,Software Engineer,Computers/Technology,0-49 employees,Europa,developer
2497,Man,30-34,Japan,Master’s degree,Business Analyst,Computers/Technology,"10,000 or more employees",Asia,data
2499,Man,25-29,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Analyst,Insurance/Risk Assessment,"1000-9,999 employees",Europa,data
2501,Woman,18-21,India,Some college/university study without earning a bachelor’s degree,Data Analyst,Academics/Education,"10,000 or more employees",Asia,data
2502,Woman,45-49,India,Professional doctorate,Research Scientist,Academics/Education,250-999 employees,Asia,data
2504,Man,30-34,South Africa,Bachelor’s degree,Data Analyst,Energy/Mining,0-49 employees,África,data
2506,Man,22-24,India,Master’s degree,Machine Learning Engineer,Other,0-49 employees,Asia,data
2507,Man,40-44,Pakistan,Master’s degree,Data Scientist,Accounting/Finance,50-249 employees,Asia,data
2508,Man,25-29,India,Master’s degree,Research Scientist,,,Asia,data
2513,Man,25-29,Hong Kong (S.A.R.),Master’s degree,Data Analyst,Academics/Education,250-999 employees,Asia,data
2514,Man,25-29,India,Doctoral degree,Research Scientist,Academics/Education,50-249 employees,Asia,data
2519,Man,30-34,China,Bachelor’s degree,Software Engineer,Online Service/Internet-based Services,0-49 employees,Asia,developer
2520,Man,22-24,Bangladesh,Bachelor’s degree,Machine Learning Engineer,Medical/Pharmaceutical,50-249 employees,Asia,data
2521,Man,25-29,India,Master’s degree,Data Analyst,Online Service/Internet-based Services,0-49 employees,Asia,data
2522,Man,25-29,Brazil,Bachelor’s degree,Data Scientist,Hospitality/Entertainment/Sports,0-49 employees,América del Sur,data
2523,Man,50-54,Colombia,Doctoral degree,Research Scientist,,,América del Sur,data
2524,Man,35-39,Saudi Arabia,Master’s degree,Data Analyst,Medical/Pharmaceutical,50-249 employees,Asia,data
2525,Man,22-24,Indonesia,Master’s degree,Data Engineer,,,Asia,data
2526,Man,40-44,Tunisia,Doctoral degree,Software Engineer,Academics/Education,0-49 employees,África,developer
2527,Man,30-34,Mexico,Master’s degree,Machine Learning Engineer,Accounting/Finance,0-49 employees,América del Sur,data
2530,Man,22-24,India,Master’s degree,Data Analyst,Medical/Pharmaceutical,0-49 employees,Asia,data
2532,Woman,25-29,Nigeria,Bachelor’s degree,Data Analyst,Online Business/Internet-based Sales,"1000-9,999 employees",África,data
2533,Man,45-49,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Program/Project Manager,Retail/Sales,"1000-9,999 employees",Europa,other
2534,Man,18-21,Viet Nam,Bachelor’s degree,Machine Learning Engineer,Computers/Technology,0-49 employees,Asia,data
2537,Man,30-34,India,Master’s degree,Product Manager,Manufacturing/Fabrication,250-999 employees,Asia,other
2541,Man,22-24,India,Master’s degree,Machine Learning Engineer,Academics/Education,50-249 employees,Asia,data
2543,Man,40-44,South Africa,Master’s degree,Data Scientist,Other,50-249 employees,África,data
2544,Woman,18-21,India,No formal education past high school,Data Engineer,Academics/Education,0-49 employees,Asia,data
2547,Man,40-44,Taiwan,Bachelor’s degree,Software Engineer,Computers/Technology,250-999 employees,Asia,developer
2548,Man,45-49,India,Bachelor’s degree,Program/Project Manager,Insurance/Risk Assessment,250-999 employees,Asia,other
2549,Man,22-24,India,Master’s degree,Statistician,Academics/Education,0-49 employees,Asia,other
2554,Man,25-29,India,Master’s degree,Data Scientist,Marketing/CRM,50-249 employees,Asia,data
2555,Man,45-49,Australia,Bachelor’s degree,Developer Relations/Advocacy,Computers/Technology,"10,000 or more employees",Oceanía,other
2556,Man,60-69,United States of America,Master’s degree,Software Engineer,Computers/Technology,"1000-9,999 employees",América del Norte,developer
2557,Man,30-34,Germany,Bachelor’s degree,Machine Learning Engineer,Online Service/Internet-based Services,250-999 employees,Europa,data
2559,Man,50-54,South Africa,Master’s degree,Data Scientist,Insurance/Risk Assessment,"10,000 or more employees",África,data
2561,Woman,60-69,Brazil,Doctoral degree,Software Engineer,Academics/Education,50-249 employees,América del Sur,developer
2563,Woman,30-34,Brazil,Bachelor’s degree,Business Analyst,Computers/Technology,"1000-9,999 employees",América del Sur,data
2565,Man,22-24,Pakistan,Bachelor’s degree,Data Analyst,Computers/Technology,50-249 employees,Asia,data
2566,Woman,22-24,China,Master’s degree,Machine Learning Engineer,Computers/Technology,"1000-9,999 employees",Asia,data
2567,Man,30-34,United States of America,Some college/university study without earning a bachelor’s degree,Data Analyst,Other,"1000-9,999 employees",América del Norte,data
2568,Man,18-21,Pakistan,Bachelor’s degree,Software Engineer,Academics/Education,"10,000 or more employees",Asia,developer
2569,Man,22-24,Turkey,Master’s degree,Research Scientist,Manufacturing/Fabrication,0-49 employees,Asia,data
2570,Woman,35-39,India,Bachelor’s degree,Data Scientist,Computers/Technology,"1000-9,999 employees",Asia,data
2572,Man,70+,Germany,Master’s degree,Software Engineer,Energy/Mining,"10,000 or more employees",Europa,developer
2573,Man,60-69,United States of America,Doctoral degree,Data Scientist,Computers/Technology,0-49 employees,América del Norte,data
2577,Man,25-29,Egypt,Bachelor’s degree,Data Analyst,Hospitality/Entertainment/Sports,250-999 employees,África,data
2579,Man,25-29,India,Master’s degree,Business Analyst,Marketing/CRM,"10,000 or more employees",Asia,data
2581,Man,22-24,Poland,Master’s degree,Data Analyst,Manufacturing/Fabrication,"10,000 or more employees",Europa,data
2583,Man,35-39,Argentina,Master’s degree,Data Scientist,Computers/Technology,0-49 employees,América del Sur,data
2586,Man,30-34,Poland,Master’s degree,Machine Learning Engineer,Online Service/Internet-based Services,250-999 employees,Europa,data
2587,Man,22-24,Pakistan,Master’s degree,Data Scientist,Academics/Education,0-49 employees,Asia,data
2590,Woman,25-29,China,Master’s degree,Software Engineer,Online Service/Internet-based Services,"10,000 or more employees",Asia,developer
2591,Man,18-21,Russia,Bachelor’s degree,Data Scientist,Academics/Education,0-49 employees,Europa,data
2592,Man,35-39,France,Doctoral degree,Research Scientist,Academics/Education,"1000-9,999 employees",Europa,data
2594,Man,35-39,Nigeria,I prefer not to answer,Data Scientist,Retail/Sales,50-249 employees,África,data
2595,Man,25-29,Ecuador,Bachelor’s degree,Data Analyst,Medical/Pharmaceutical,"10,000 or more employees",América del Sur,data
2597,Man,35-39,Mexico,Doctoral degree,Research Scientist,Manufacturing/Fabrication,50-249 employees,América del Sur,data
2599,Man,25-29,Brazil,Master’s degree,Data Scientist,Accounting/Finance,50-249 employees,América del Sur,data
2600,Man,18-21,India,Bachelor’s degree,Data Scientist,Computers/Technology,0-49 employees,Asia,data
2603,Man,35-39,India,Master’s degree,Data Scientist,Manufacturing/Fabrication,"1000-9,999 employees",Asia,data
2604,Man,60-69,United States of America,Doctoral degree,Research Scientist,Military/Security/Defense,"10,000 or more employees",América del Norte,data
2607,Man,60-69,Germany,Master’s degree,Software Engineer,Broadcasting/Communications,0-49 employees,Europa,developer
2610,Woman,22-24,Turkey,Bachelor’s degree,Software Engineer,Computers/Technology,"1000-9,999 employees",Asia,developer
2612,Man,30-34,Russia,Bachelor’s degree,Business Analyst,Other,0-49 employees,Europa,data
2616,Man,22-24,India,Master’s degree,DBA/Database Engineer,Online Service/Internet-based Services,"10,000 or more employees",Asia,data
2618,Man,35-39,South Korea,Bachelor’s degree,Product Manager,Insurance/Risk Assessment,250-999 employees,Asia,other
2619,Man,22-24,Saudi Arabia,Bachelor’s degree,Machine Learning Engineer,Academics/Education,0-49 employees,Asia,data
2620,Woman,25-29,Saudi Arabia,Master’s degree,Machine Learning Engineer,Energy/Mining,50-249 employees,Asia,data
2622,Man,30-34,Kenya,Master’s degree,Data Scientist,Computers/Technology,50-249 employees,África,data
2624,Man,25-29,Belarus,Bachelor’s degree,Data Engineer,Retail/Sales,"10,000 or more employees",Europa,data
2625,Man,30-34,Netherlands,Master’s degree,Data Scientist,Retail/Sales,250-999 employees,Europa,data
2628,Man,30-34,Kenya,Master’s degree,Data Analyst,Government/Public Service,"1000-9,999 employees",África,data
2629,Man,22-24,India,Master’s degree,Machine Learning Engineer,,,Asia,data
2630,Man,45-49,India,Master’s degree,Business Analyst,Computers/Technology,"1000-9,999 employees",Asia,data
2634,Woman,35-39,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Engineer,Computers/Technology,"1000-9,999 employees",Europa,data
2635,Man,35-39,India,Doctoral degree,Machine Learning Engineer,Academics/Education,50-249 employees,Asia,data
2637,Woman,30-34,India,Bachelor’s degree,Data Scientist,Computers/Technology,0-49 employees,Asia,data
2640,Man,30-34,Nigeria,Master’s degree,Data Analyst,Computers/Technology,0-49 employees,África,data
2641,Man,30-34,United States of America,Bachelor’s degree,Data Analyst,Accounting/Finance,"1000-9,999 employees",América del Norte,data
2643,Man,30-34,United States of America,Professional doctorate,Research Scientist,Medical/Pharmaceutical,0-49 employees,América del Norte,data
2644,Man,50-54,Taiwan,Professional doctorate,Machine Learning Engineer,Medical/Pharmaceutical,0-49 employees,Asia,data
2645,Man,25-29,India,Bachelor’s degree,Machine Learning Engineer,Online Service/Internet-based Services,,Asia,data
2647,Man,25-29,Romania,No formal education past high school,Research Scientist,Computers/Technology,0-49 employees,Europa,data
2649,Man,55-59,United States of America,Bachelor’s degree,Program/Project Manager,Broadcasting/Communications,"10,000 or more employees",América del Norte,other
2650,Man,22-24,Ghana,Bachelor’s degree,Software Engineer,Computers/Technology,50-249 employees,África,developer
2651,Man,30-34,Bangladesh,Some college/university study without earning a bachelor’s degree,Data Analyst,Government/Public Service,50-249 employees,Asia,data
2655,Man,25-29,India,Bachelor’s degree,Data Scientist,Marketing/CRM,50-249 employees,Asia,data
2657,Man,18-21,Poland,No formal education past high school,Machine Learning Engineer,Hospitality/Entertainment/Sports,0-49 employees,Europa,data
2658,Man,30-34,France,Master’s degree,Data Analyst,Medical/Pharmaceutical,50-249 employees,Europa,data
2659,Man,25-29,India,Master’s degree,Software Engineer,Computers/Technology,250-999 employees,Asia,developer
2660,Man,22-24,Denmark,Master’s degree,Data Scientist,Accounting/Finance,0-49 employees,Europa,data
2661,Man,22-24,Belarus,Master’s degree,Machine Learning Engineer,Computers/Technology,250-999 employees,Europa,data
2662,Man,35-39,Switzerland,Master’s degree,Data Scientist,Shipping/Transportation,"1000-9,999 employees",Europa,data
2665,Woman,30-34,United States of America,Master’s degree,Data Scientist,Computers/Technology,"10,000 or more employees",América del Norte,data
2668,Woman,45-49,United States of America,Master’s degree,Program/Project Manager,Government/Public Service,50-249 employees,América del Norte,other
2669,Man,25-29,India,Master’s degree,Research Scientist,,,Asia,data
2670,Man,25-29,India,Master’s degree,Data Scientist,,,Asia,data
2675,Man,18-21,Nigeria,Bachelor’s degree,Data Scientist,Other,50-249 employees,África,data
2677,Man,18-21,India,I prefer not to answer,Data Scientist,Other,,Asia,data
2678,Man,35-39,Mexico,Doctoral degree,Research Scientist,Academics/Education,"1000-9,999 employees",América del Sur,data
2682,Man,45-49,Uganda,Doctoral degree,Program/Project Manager,Medical/Pharmaceutical,50-249 employees,África,other
2683,Man,22-24,"Iran, Islamic Republic of...",Master’s degree,Machine Learning Engineer,Academics/Education,0-49 employees,África,data
2684,Man,30-34,Russia,Doctoral degree,Data Scientist,Marketing/CRM,50-249 employees,Europa,data
2685,Man,25-29,Italy,Some college/university study without earning a bachelor’s degree,DBA/Database Engineer,Shipping/Transportation,50-249 employees,Europa,data
2686,Man,55-59,Netherlands,Bachelor’s degree,Software Engineer,Non-profit/Service,50-249 employees,Europa,developer
2692,Man,25-29,India,Master’s degree,Software Engineer,Computers/Technology,"10,000 or more employees",Asia,developer
2695,Man,35-39,Poland,Master’s degree,Software Engineer,Accounting/Finance,50-249 employees,Europa,developer
2696,Woman,35-39,South Korea,Master’s degree,Data Engineer,Energy/Mining,"1000-9,999 employees",Asia,data
2697,Woman,22-24,China,Bachelor’s degree,Data Analyst,Hospitality/Entertainment/Sports,0-49 employees,Asia,data
2698,Man,25-29,Viet Nam,Bachelor’s degree,Machine Learning Engineer,Online Service/Internet-based Services,50-249 employees,Asia,data
2699,Man,30-34,South Africa,Bachelor’s degree,Data Scientist,Accounting/Finance,"10,000 or more employees",África,data
2700,Man,35-39,Netherlands,Doctoral degree,Data Scientist,Medical/Pharmaceutical,0-49 employees,Europa,data
2706,Man,30-34,India,Master’s degree,Data Engineer,Shipping/Transportation,"1000-9,999 employees",Asia,data
2707,Man,22-24,United States of America,Bachelor’s degree,Software Engineer,Computers/Technology,"1000-9,999 employees",América del Norte,developer
2709,Man,35-39,Portugal,Master’s degree,Software Engineer,Computers/Technology,0-49 employees,Europa,developer
2710,Man,40-44,Sweden,Master’s degree,Research Scientist,Academics/Education,"1000-9,999 employees",Europa,data
2712,Woman,18-21,India,Bachelor’s degree,Data Scientist,Computers/Technology,0-49 employees,Asia,data
2715,Man,40-44,Mexico,Doctoral degree,Research Scientist,Academics/Education,250-999 employees,América del Sur,data
2716,Man,45-49,Ukraine,Doctoral degree,Business Analyst,Broadcasting/Communications,0-49 employees,Europa,data
2720,Man,30-34,Belgium,Doctoral degree,Data Scientist,Computers/Technology,"1000-9,999 employees",Europa,data
2722,Man,40-44,Mexico,Master’s degree,Data Engineer,Energy/Mining,"10,000 or more employees",América del Sur,data
2724,Man,25-29,Taiwan,Bachelor’s degree,Data Analyst,Accounting/Finance,250-999 employees,Asia,data
2725,Woman,22-24,India,Bachelor’s degree,Software Engineer,Computers/Technology,"1000-9,999 employees",Asia,developer
2729,Man,25-29,India,Bachelor’s degree,Data Analyst,Accounting/Finance,50-249 employees,Asia,data
2732,Man,25-29,Kenya,Bachelor’s degree,Data Analyst,Accounting/Finance,0-49 employees,África,data
2733,Woman,45-49,United States of America,Master’s degree,Data Scientist,Non-profit/Service,250-999 employees,América del Norte,data
2734,Man,45-49,India,Doctoral degree,Research Scientist,Academics/Education,50-249 employees,Asia,data
2735,Man,25-29,United States of America,Master’s degree,Data Analyst,Energy/Mining,50-249 employees,América del Norte,data
2737,Man,60-69,Japan,Doctoral degree,Research Scientist,,,Asia,data
2743,Man,22-24,Spain,Some college/university study without earning a bachelor’s degree,Data Scientist,Accounting/Finance,"10,000 or more employees",Europa,data
2744,Man,22-24,Viet Nam,Some college/university study without earning a bachelor’s degree,Software Engineer,Computers/Technology,0-49 employees,Asia,developer
2745,Man,40-44,Ukraine,Master’s degree,Data Scientist,Academics/Education,250-999 employees,Europa,data
2748,Man,45-49,Nigeria,Master’s degree,Business Analyst,Other,0-49 employees,África,data
2749,Man,25-29,Russia,Master’s degree,Data Analyst,,,Europa,data
2750,Man,18-21,India,Bachelor’s degree,Data Analyst,Academics/Education,0-49 employees,Asia,data
2751,Man,45-49,Philippines,Bachelor’s degree,Program/Project Manager,Computers/Technology,"1000-9,999 employees",Asia,other
2752,Man,22-24,United States of America,Master’s degree,Machine Learning Engineer,Computers/Technology,"10,000 or more employees",América del Norte,data
2757,Man,25-29,India,Bachelor’s degree,Data Scientist,Computers/Technology,"10,000 or more employees",Asia,data
2758,Man,35-39,India,Master’s degree,Data Analyst,Manufacturing/Fabrication,0-49 employees,Asia,data
2759,Woman,22-24,India,I prefer not to answer,Software Engineer,Computers/Technology,"10,000 or more employees",Asia,developer
2760,Woman,40-44,India,Master’s degree,Software Engineer,,,Asia,developer
2761,Man,30-34,India,Master’s degree,Data Scientist,Other,"10,000 or more employees",Asia,data
2762,Man,35-39,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Software Engineer,,,Europa,developer
2764,Man,25-29,Indonesia,Bachelor’s degree,Business Analyst,Computers/Technology,"10,000 or more employees",Asia,data
2766,Man,18-21,Russia,Master’s degree,Data Analyst,Energy/Mining,50-249 employees,Europa,data
2768,Man,35-39,"Iran, Islamic Republic of...",Master’s degree,Software Engineer,,,África,developer
2770,Man,45-49,Ireland,Master’s degree,Software Engineer,Shipping/Transportation,0-49 employees,Europa,developer
2771,Woman,25-29,Egypt,Master’s degree,Research Scientist,Academics/Education,250-999 employees,África,data
2775,Man,25-29,India,Master’s degree,Data Analyst,Academics/Education,0-49 employees,Asia,data
2776,Man,60-69,United States of America,Some college/university study without earning a bachelor’s degree,Product Manager,Medical/Pharmaceutical,0-49 employees,América del Norte,other
2778,Man,30-34,India,Master’s degree,Data Scientist,Online Service/Internet-based Services,250-999 employees,Asia,data
2781,Man,18-21,Viet Nam,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,Non-profit/Service,"1000-9,999 employees",Asia,data
2782,Man,45-49,Brazil,Master’s degree,Product Manager,Manufacturing/Fabrication,"10,000 or more employees",América del Sur,other
2783,Man,22-24,India,Master’s degree,Software Engineer,Academics/Education,0-49 employees,Asia,developer
2785,Man,25-29,Morocco,Doctoral degree,Research Scientist,Academics/Education,50-249 employees,África,data
2792,Man,30-34,India,Bachelor’s degree,Data Analyst,Computers/Technology,"10,000 or more employees",Asia,data
2794,Man,30-34,Singapore,Doctoral degree,Machine Learning Engineer,Medical/Pharmaceutical,0-49 employees,Asia,data
2795,Man,30-34,Romania,Doctoral degree,Machine Learning Engineer,Computers/Technology,50-249 employees,Europa,data
2798,Man,22-24,Kenya,Bachelor’s degree,Statistician,Accounting/Finance,"1000-9,999 employees",África,other
2799,Man,25-29,Viet Nam,Master’s degree,Software Engineer,Computers/Technology,250-999 employees,Asia,developer
2800,Man,25-29,Viet Nam,Bachelor’s degree,Software Engineer,Computers/Technology,0-49 employees,Asia,developer
2801,Man,25-29,India,Master’s degree,Business Analyst,Accounting/Finance,"10,000 or more employees",Asia,data
2802,Man,35-39,Singapore,Bachelor’s degree,Data Analyst,Accounting/Finance,"1000-9,999 employees",Asia,data
2803,Man,25-29,Kazakhstan,Master’s degree,Data Scientist,Accounting/Finance,"1000-9,999 employees",Asia,data
2804,Man,30-34,United States of America,Bachelor’s degree,Data Analyst,Other,"1000-9,999 employees",América del Norte,data
2806,Man,25-29,Malaysia,Bachelor’s degree,Software Engineer,Computers/Technology,0-49 employees,Asia,developer
2807,Man,22-24,Nigeria,Some college/university study without earning a bachelor’s degree,Statistician,Non-profit/Service,0-49 employees,África,other
2808,Man,25-29,India,Master’s degree,Machine Learning Engineer,Online Service/Internet-based Services,50-249 employees,Asia,data
2809,Man,25-29,Netherlands,Master’s degree,Data Analyst,Accounting/Finance,"10,000 or more employees",Europa,data
2810,Man,45-49,Brazil,Bachelor’s degree,Business Analyst,Computers/Technology,"10,000 or more employees",América del Sur,data
2817,Man,30-34,Australia,Bachelor’s degree,Data Scientist,Accounting/Finance,"10,000 or more employees",Oceanía,data
2818,Man,30-34,Germany,Master’s degree,Software Engineer,Medical/Pharmaceutical,50-249 employees,Europa,developer
2820,Man,25-29,Ecuador,Master’s degree,Data Analyst,Government/Public Service,250-999 employees,América del Sur,data
2822,Man,30-34,China,Master’s degree,Software Engineer,Online Service/Internet-based Services,"10,000 or more employees",Asia,developer
2825,Man,25-29,India,Master’s degree,Business Analyst,Marketing/CRM,"10,000 or more employees",Asia,data
2826,Man,40-44,Norway,Master’s degree,Statistician,Medical/Pharmaceutical,0-49 employees,Europa,other
2827,Man,45-49,Brazil,Doctoral degree,Machine Learning Engineer,Academics/Education,250-999 employees,América del Sur,data
2828,Man,25-29,India,Master’s degree,Software Engineer,,,Asia,developer
2829,Man,25-29,Russia,Master’s degree,Data Analyst,Military/Security/Defense,250-999 employees,Europa,data
2830,Man,25-29,Turkey,Master’s degree,Data Scientist,Medical/Pharmaceutical,250-999 employees,Asia,data
2831,Man,22-24,Ghana,Some college/university study without earning a bachelor’s degree,Software Engineer,Non-profit/Service,50-249 employees,África,developer
2832,Man,35-39,United States of America,Master’s degree,Data Scientist,Accounting/Finance,"10,000 or more employees",América del Norte,data
2833,Man,35-39,Argentina,Master’s degree,Machine Learning Engineer,Government/Public Service,250-999 employees,América del Sur,data
2834,Man,18-21,India,Bachelor’s degree,Data Scientist,,,Asia,data
2836,Man,30-34,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,Computers/Technology,"1000-9,999 employees",Europa,data
2839,Man,45-49,United States of America,Doctoral degree,Machine Learning Engineer,Computers/Technology,250-999 employees,América del Norte,data
2840,Man,25-29,Poland,Master’s degree,Data Scientist,Retail/Sales,"10,000 or more employees",Europa,data
2841,Woman,25-29,Poland,Master’s degree,Data Analyst,Online Service/Internet-based Services,0-49 employees,Europa,data
2843,Man,25-29,Philippines,Bachelor’s degree,Research Scientist,Academics/Education,0-49 employees,Asia,data
2844,Man,55-59,United States of America,Bachelor’s degree,Software Engineer,Energy/Mining,0-49 employees,América del Norte,developer
2845,Man,40-44,Morocco,Master’s degree,Research Scientist,,,África,data
2846,Man,30-34,Spain,Doctoral degree,Research Scientist,Academics/Education,250-999 employees,Europa,data
2847,Man,25-29,India,I prefer not to answer,Machine Learning Engineer,,,Asia,data
2849,Man,35-39,China,Professional doctorate,Data Scientist,Academics/Education,"1000-9,999 employees",Asia,data
2850,Man,35-39,China,Bachelor’s degree,Software Engineer,,,Asia,developer
2851,Man,22-24,India,Bachelor’s degree,Data Scientist,Academics/Education,0-49 employees,Asia,data
2853,Man,30-34,India,Master’s degree,Data Scientist,Accounting/Finance,"1000-9,999 employees",Asia,data
2854,Woman,30-34,Egypt,Master’s degree,Data Analyst,Academics/Education,0-49 employees,África,data
2856,Man,25-29,Nigeria,Bachelor’s degree,Data Scientist,Retail/Sales,0-49 employees,África,data
2857,Man,25-29,India,Bachelor’s degree,Data Scientist,Academics/Education,50-249 employees,Asia,data
2858,Man,25-29,Czech Republic,Master’s degree,Data Scientist,Online Business/Internet-based Sales,250-999 employees,Europa,data
2859,Man,30-34,Japan,Master’s degree,Software Engineer,Computers/Technology,50-249 employees,Asia,developer
2860,Woman,40-44,India,Doctoral degree,Research Scientist,Computers/Technology,50-249 employees,Asia,data
2862,Man,40-44,France,Master’s degree,Data Analyst,,,Europa,data
2863,Man,35-39,Philippines,Bachelor’s degree,Program/Project Manager,Computers/Technology,"10,000 or more employees",Asia,other
2864,Man,22-24,India,Bachelor’s degree,Software Engineer,Computers/Technology,"10,000 or more employees",Asia,developer
2866,Man,30-34,Nigeria,Master’s degree,Data Analyst,Computers/Technology,0-49 employees,África,data
2868,Woman,40-44,Brazil,Doctoral degree,Data Analyst,Academics/Education,250-999 employees,América del Sur,data
2870,Man,45-49,Russia,No formal education past high school,Data Scientist,Academics/Education,0-49 employees,Europa,data
2871,Man,55-59,Japan,Bachelor’s degree,Software Engineer,Computers/Technology,"1000-9,999 employees",Asia,developer
2873,Man,25-29,India,I prefer not to answer,Software Engineer,Hospitality/Entertainment/Sports,0-49 employees,Asia,developer
2874,Man,30-34,United States of America,Doctoral degree,Data Scientist,Computers/Technology,50-249 employees,América del Norte,data
2877,Man,30-34,Switzerland,Master’s degree,Data Analyst,Accounting/Finance,"10,000 or more employees",Europa,data
2879,Man,22-24,Japan,Bachelor’s degree,Data Scientist,Academics/Education,0-49 employees,Asia,data
2880,Man,55-59,United States of America,Master’s degree,Business Analyst,Retail/Sales,0-49 employees,América del Norte,data
2882,Woman,22-24,India,Master’s degree,Data Scientist,Academics/Education,0-49 employees,Asia,data
2885,Woman,25-29,India,Master’s degree,Data Analyst,Accounting/Finance,50-249 employees,Asia,data
2886,Woman,40-44,United States of America,Doctoral degree,Research Scientist,Computers/Technology,250-999 employees,América del Norte,data
2887,Man,35-39,United States of America,Bachelor’s degree,Data Scientist,Accounting/Finance,"1000-9,999 employees",América del Norte,data
2890,Man,25-29,India,Master’s degree,Data Scientist,Computers/Technology,"10,000 or more employees",Asia,data
2891,Man,45-49,Peru,Bachelor’s degree,Data Analyst,Online Service/Internet-based Services,0-49 employees,América del Sur,data
2892,Woman,35-39,Ukraine,Master’s degree,Software Engineer,Medical/Pharmaceutical,50-249 employees,Europa,developer
2894,Man,50-54,Russia,Master’s degree,Program/Project Manager,Medical/Pharmaceutical,0-49 employees,Europa,other
2897,Man,30-34,Pakistan,Bachelor’s degree,Data Analyst,Computers/Technology,"1000-9,999 employees",Asia,data
2898,Man,40-44,Pakistan,Master’s degree,Software Engineer,Academics/Education,0-49 employees,Asia,developer
2899,Man,35-39,Nigeria,Bachelor’s degree,Data Analyst,Government/Public Service,"1000-9,999 employees",África,data
2901,Man,40-44,Spain,Master’s degree,Data Analyst,Accounting/Finance,250-999 employees,Europa,data
2902,Man,70+,India,Master’s degree,Research Scientist,Online Service/Internet-based Services,250-999 employees,Asia,data
2904,Man,60-69,United States of America,Master’s degree,Program/Project Manager,Computers/Technology,0-49 employees,América del Norte,other
2906,Man,55-59,Italy,Master’s degree,Machine Learning Engineer,Computers/Technology,"10,000 or more employees",Europa,data
2907,Man,60-69,United States of America,Master’s degree,Software Engineer,Medical/Pharmaceutical,250-999 employees,América del Norte,developer
2908,Man,45-49,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,Retail/Sales,"10,000 or more employees",Europa,data
2909,Man,50-54,United States of America,Master’s degree,Data Scientist,Computers/Technology,250-999 employees,América del Norte,data
2911,Man,22-24,United States of America,Bachelor’s degree,Research Scientist,Other,"1000-9,999 employees",América del Norte,data
2912,Woman,25-29,United States of America,Master’s degree,Data Analyst,Academics/Education,"10,000 or more employees",América del Norte,data
2913,Woman,22-24,Egypt,Bachelor’s degree,Data Analyst,Other,250-999 employees,África,data
2914,Man,30-34,China,Master’s degree,Machine Learning Engineer,Computers/Technology,"10,000 or more employees",Asia,data
2915,Man,55-59,Italy,No formal education past high school,Data Analyst,Computers/Technology,"1000-9,999 employees",Europa,data
2919,Man,18-21,India,Bachelor’s degree,Data Scientist,,,Asia,data
2920,Man,45-49,Portugal,Master’s degree,Business Analyst,Computers/Technology,250-999 employees,Europa,data
2922,Man,35-39,China,Master’s degree,Data Engineer,,,Asia,data
2925,Man,35-39,India,Master’s degree,Program/Project Manager,Computers/Technology,"10,000 or more employees",Asia,other
2926,Man,25-29,India,Master’s degree,Data Scientist,Other,50-249 employees,Asia,data
2927,Man,22-24,Morocco,Master’s degree,Data Scientist,Online Business/Internet-based Sales,250-999 employees,África,data
2929,Man,40-44,Brazil,Doctoral degree,Data Analyst,Government/Public Service,"1000-9,999 employees",América del Sur,data
2930,Woman,40-44,Czech Republic,Doctoral degree,Data Scientist,Computers/Technology,250-999 employees,Europa,data
2933,Woman,25-29,Canada,Master’s degree,Research Scientist,Other,0-49 employees,América del Norte,data
